Timestep  Iteration  resNorm(0)  resNorm(1)  
220  2  0.0186835436099011  0.0008701005349104  
221  1  0.2950600447221613  0.0002703250852613  
222  1  0.4709350910927610  0.0004125674616698  
223  1  0.7433564600606551  0.0007158419048565  
224  1  1.0606420998646089  0.0012104345481454  
224  2  0.0285901811010554  0.0009084721413798  
225  1  0.3072438347636079  0.0002830753868446  
226  1  0.4876248008562836  0.0004273596229011  
227  1  0.7646521201978873  0.0007433863627119  
228  1  1.0828082414661724  0.0012539079500230  
228  2  0.0245743149276859  0.0009402297119352  
229  1  0.3216862393424095  0.0002932104184993  
230  1  0.5108735897076730  0.0004493444357748  
231  1  0.7963749681801613  0.0007806044701169  
232  1  1.1126537530431793  0.0013203579683717  
232  2  0.1640866689707587  0.0010063052103601  
232  3  0.0068621395775049  0.0000944451493390  
233  1  0.3332936045490988  0.0003067429049386  
234  1  0.5275760368358174  0.0004652521214517  
235  1  0.8178772749174533  0.0008103744871724  
236  1  1.1337293097713801  0.0013678764861601  
236  2  0.0098783626748539  0.0010259386003414  
236  3  0.0008790278022512  0.0000048444940293  
237  1  0.3457558988394432  0.0003169746200289  
238  1  0.5458904238745975  0.0004832182956275  
239  1  0.8415013798515206  0.0008394566783053  
240  1  1.1541643264615089  0.0014190301449416  
240  2  0.0030360307822885  0.0010637676617512  
240  3  0.0003182868234303  0.0000015053641632  
241  1  0.3580847023728723  0.0003294554441369  
242  1  0.5638391258064678  0.0005004337747556  
243  1  0.8635523469777441  0.0008714961327602  
244  1  1.1749197116131134  0.0014714670393817  
244  2  0.0020377847331732  0.0011036381630849  
244  3  0.0002965902926164  0.0000010074056509  
245  1  0.3716647073810203  0.0003410266638826  
246  1  0.5832274503320400  0.0005198175506609  
247  1  0.8877817761044433  0.0009033710740683  
248  1  1.1945673347241075  0.0015270430435938  
248  2  0.0017643557179219  0.0011449776470545  
248  3  0.0001325145738153  0.0000008446055307  
249  1  0.3848282892051808  0.0003544194394931  
250  1  0.6020527319050663  0.0005385751128987  
251  1  0.9099819234373853  0.0009379137520550  
252  1  1.2143829669454034  0.0015839383012587  
252  2  0.0003895421374901  0.0011879170922444  
252  3  0.0004365747296464  0.0000003899392330  
253  1  0.3993961943998862  0.0003670753403946  
254  1  0.6224424140879826  0.0005594779719862  
255  1  0.9344692103114269  0.0009725892383442  
256  1  1.2330443812494742  0.0016440837651558  
256  2  0.0001706922370411  0.0012327447676584  
256  3  0.0002321802658068  0.0000001853259075  
257  1  0.4134730707869823  0.0003815268890573  
258  1  0.6421312060988121  0.0005799435989055  
259  1  0.9567008686859931  0.0010099625278944  
259  2  0.0045027353982154  0.0007534736235789  
260  1  0.2603009518048039  0.0002375167044842  
261  1  0.4177624749454384  0.0003550239204632  
262  1  0.6700567967923339  0.0006239758253692  
263  1  0.9839974787332333  0.0010500382812348  
263  2  0.0098267945250583  0.0007884457160756  
264  1  0.2706401305502155  0.0002430543684949  
265  1  0.4341441415274995  0.0003729595014978  
